"class","cap.diameter","cap.shape","cap.surface","cap.color","does.bruise.or.bleed","gill.attachment","gill.spacing","gill.color","stem.height","stem.width","stem.root","stem.surface","stem.color","veil.type","veil.color","has.ring","ring.type","spore.print.color","habitat","season"
"p",0.76,"x","g","e","f","a","","n",3.57,0.94,"","h","k","","","f","f","","d","s"
"e",9.2,"x","d","n","t","p","","y",7.73,14.13,"","","y","","","f","f","","d","a"
"e",14.34,"f","","g","f","d","c","w",2.69,15.59,"","","w","","","f","f","","d","w"
"p",7.59,"s","d","e","t","d","c","y",6.73,9.72,"","","e","","","f","f","","d","u"
"p",1.39,"x","","n","f","","","k",4.62,2.38,"","s","n","","","f","f","k","g","a"
"e",3.35,"x","s","p","f","a","c","e",4.3,6.73,"","","e","","","f","f","","m","u"
"p",2.58,"b","","g","f","a","","g",5.16,2.18,"","s","n","","","f","f","","d","u"
"e",5.85,"x","h","n","f","x","c","n",6.64,6.72,"","y","n","","","t","r","","d","s"
"e",0.77,"x","g","e","t","a","","p",5.27,1,"","","n","","","f","f","","d","u"
"p",3.27,"x","t","y","f","a","c","y",5.52,6.27,"","g","o","","","f","f","","g","a"
"p",7.71,"b","y","n","f","","","p",11.94,16.61,"","","w","","","f","f","","d","a"
"e",6.75,"f","s","n","f","s","c","w",6.61,10.83,"b","i","n","","","f","f","","l","u"
"p",9.61,"x","t","n","f","a","d","w",9.48,26.8,"","","w","","","f","f","","d","a"
"e",7.75,"f","t","n","f","s","","y",9.07,12.22,"","t","n","","","f","f","","d","a"
"p",10.82,"x","e","n","f","a","","n",10.49,15.17,"s","","n","","e","f","f","","d","a"
"p",2.47,"f","k","n","f","s","","p",3.38,2.36,"","","n","","","f","f","p","g","a"
"p",7.54,"s","d","n","t","d","c","w",5.08,8.3,"","","n","","","f","f","","d","a"
"e",5.04,"b","h","g","f","s","d","g",4.8,8.22,"","s","g","","","f","f","","d","a"
"p",4.42,"c","i","y","f","","c","n",5.91,6.14,"","","w","","","f","f","","d","u"
"p",7.5,"x","s","g","t","s","d","r",6.18,18.37,"r","y","n","","","f","f","","d","a"
"e",15.24,"x","s","w","t","e","","g",12.8,18.51,"s","","w","","","t","l","","m","u"
"e",6.32,"x","y","n","f","","","w",6.44,23.5,"b","","n","","w","t","e","","d","w"
"e",3.61,"x","","b","f","","d","u",6.68,5.12,"","","w","","","f","f","","d","u"
"p",8.92,"x","i","y","f","a","","o",10.41,17.46,"r","","y","","","t","r","n","d","w"
"e",7.41,"f","d","b","f","d","d","o",7.17,14.27,"","","w","","","f","f","","m","a"
"p",7.25,"x","i","y","f","a","c","n",7.11,6.29,"","i","n","","k","t","z","k","d","a"
"e",4.05,"x","d","n","f","p","","y",4.95,10.7,"","","n","","","f","f","","d","a"
"p",5.61,"x","k","n","f","d","c","n",4.23,5.01,"","i","n","","","t","","","d","u"
"e",6.98,"s","l","w","f","d","","p",3.3,9.12,"","","w","","","f","f","","g","u"
"e",9.81,"p","y","n","t","e","","p",9.04,18.27,"","y","w","","","t","l","","l","a"
"p",7.66,"x","","n","f","p","","p",8.29,23.07,"c","","n","","","f","f","w","d","a"
"p",6.7,"s","h","n","t","d","","g",4.39,11.55,"","t","n","","","f","f","","d","a"
"p",2.95,"b","t","p","f","a","","r",4.68,5.03,"","t","r","","","f","f","","m","u"
"e",9.2,"x","s","w","f","s","c","w",6.59,28.66,"","","w","","","f","f","","d","u"
"e",9.66,"s","","n","f","","","w",5.72,24.1,"","","n","","","f","f","","d","a"
"p",3.11,"x","y","n","f","a","","w",5.21,3.33,"","y","n","","","t","r","","d","u"
"p",3.73,"f","y","n","f","e","c","n",3.93,3.31,"","k","w","","","t","e","","d","u"
"p",6.48,"f","k","n","f","a","c","n",5.33,6.66,"","i","y","","","t","","","d","a"
"e",1.59,"f","w","g","f","","d","k",5.21,2.54,"","","w","","","f","f","","d","u"
"e",9.72,"x","s","n","t","p","","n",8.69,17.76,"","","n","","w","t","p","","d","a"
"p",4.33,"b","h","r","f","s","c","g",7.71,9.22,"","y","w","","","t","e","u","d","u"
"p",3.23,"b","","g","f","a","","k",8.76,2.42,"","","g","","w","f","f","k","g","u"
"p",6.88,"x","","n","f","d","c","w",5.34,10.16,"b","","n","","","f","f","","d","w"
"p",3.38,"b","h","n","f","","","k",9.07,5.91,"","","w","","","t","","k","g","a"
"p",3.08,"x","","w","f","x","c","p",6.85,3.69,"","","n","","","f","f","","d","u"
"e",9.12,"s","s","r","f","x","","n",7.61,22.06,"","","p","","","f","f","","d","w"
"e",11.38,"x","t","n","t","p","","y",8.53,21.63,"","","n","","","f","f","","d","a"
"e",8.63,"f","","n","t","","","w",11.52,16.33,"b","","w","u","w","t","g","","d","u"
"p",2.71,"f","","u","f","a","c","n",3.82,3.47,"","i","u","","","f","f","","p","a"
"e",7.2,"p","","n","f","a","","w",8.17,14.57,"","","g","","","f","f","","d","a"
"p",7.34,"f","","r","f","x","c","y",6.07,10.15,"","","w","","","f","f","","d","u"
"p",6.41,"x","s","o","f","e","","y",7.29,7.01,"","","k","","","f","f","","g","u"
"p",8.25,"f","h","r","f","","c","w",10.85,12.58,"","","w","u","w","t","g","","d","a"
"e",8.99,"x","h","y","f","p","","y",7.78,15.18,"","","y","","y","t","","","d","a"
"p",10.75,"x","e","n","t","p","","o",10.71,33.63,"","","e","","","f","f","","d","a"
"p",7.74,"x","w","p","f","s","c","p",4.79,10.33,"","","p","","","f","f","","d","w"
"e",4.89,"f","y","n","f","s","","g",4.66,7.23,"","","w","","","f","f","","d","a"
"p",5.63,"x","s","r","t","s","d","r",6.77,17.4,"r","y","n","","","f","f","","d","a"
"p",1.64,"c","h","n","f","","","n",7.45,2.45,"","","y","","","f","f","","g","u"
"p",4.07,"x","y","n","f","a","","w",6.15,3.68,"","y","n","","","t","r","","h","u"
"e",4.39,"f","","w","f","x","c","n",6.1,4.04,"","","w","","","f","f","","d","a"
"p",0.78,"x","g","e","f","a","","n",3.81,0.97,"","h","k","","","f","f","","d","u"
"e",4.07,"x","","y","f","a","c","o",4.29,10.39,"","","w","","","f","f","","d","u"
"e",10.27,"f","e","b","f","","c","b",5.54,21.13,"","","w","","","t","f","","d","a"
"p",0.77,"x","g","n","f","a","","p",4.07,0.94,"","h","k","","","f","f","","d","u"
"e",9.43,"x","t","y","f","p","","y",6.76,13.99,"","","y","","y","t","","","d","a"
"e",4.31,"o","l","n","f","f","f","f",6.61,42.67,"","","n","","","f","f","g","d","u"
"e",15.43,"x","e","n","t","e","","w",10.65,18.14,"","","w","","","t","","","d","u"
"e",4.21,"o","l","n","f","f","f","f",5.59,40.73,"","","n","","","f","f","g","d","a"
"p",0.74,"x","g","n","f","a","","p",3.91,1.01,"","h","k","","","f","f","","d","w"
"e",5.13,"x","t","o","f","p","","n",5.8,12.71,"","","e","","","f","f","","d","u"
"e",9.91,"f","","n","t","","","w",10.06,16.74,"b","","w","u","w","t","g","","d","u"
"p",8.84,"f","h","r","f","","c","w",11.35,14.95,"","","w","u","w","t","g","","d","a"
"p",3.81,"b","h","n","f","","","k",12.5,6.34,"","","w","","","t","","k","g","w"
"p",2.67,"x","y","y","f","a","","w",4.98,3.35,"","y","n","","","t","r","","g","a"
"p",6.31,"x","y","w","t","","","p",7.88,13.53,"s","","w","","","t","l","","d","a"
"p",3.05,"x","s","o","f","a","","o",3.3,6.25,"","","o","","","f","f","","m","a"
"p",6.42,"x","e","e","f","a","","y",8.12,10.12,"","","y","","w","t","z","","d","a"
"p",1.16,"b","t","y","f","","c","g",4.09,2.76,"","","n","","","t","f","","m","u"
"e",2.74,"x","k","n","f","p","","y",4.2,9.89,"","","n","","","f","f","","d","a"
"e",5.72,"f","s","n","f","s","c","w",5.77,9.22,"b","i","w","","","f","f","","g","a"
"p",3.81,"x","t","y","f","a","c","y",5.91,6.9,"","g","o","","","f","f","","g","a"
"p",3.4,"f","t","n","f","x","c","p",6.42,4.51,"","i","n","","","f","f","","m","u"
"p",15.44,"x","h","n","f","s","","p",8.03,18.36,"","i","n","","","f","f","","d","a"
"p",5.08,"x","h","o","f","a","c","n",4.84,6.47,"","y","o","","","t","z","","d","w"
"p",4.09,"x","h","o","f","a","c","y",5.86,7.13,"","g","o","","","f","f","","g","u"
"p",4.38,"x","s","y","f","a","c","y",6.15,8.18,"","g","o","","","f","f","","g","u"
"p",2.41,"x","i","l","f","a","","p",5.32,2.75,"","","w","","","f","f","p","g","u"
"e",6.29,"f","s","n","f","s","c","w",5.04,9.01,"b","i","n","","","f","f","","l","a"
"e",17.97,"p","w","n","f","p","","w",16.38,63.11,"","","n","","","f","f","","d","a"
"p",2.25,"x","g","e","f","a","","w",5.13,2.24,"","","w","","","f","f","","d","u"
"e",2.38,"b","y","n","f","","c","n",6.16,3.04,"","","w","","","f","f","","d","a"
"e",0.95,"b","g","w","f","","","g",2.87,1.4,"","","w","","","f","f","","d","u"
"p",4.19,"c","e","y","t","x","c","p",5.46,11.08,"","","w","","","f","f","","d","u"
"e",2.93,"x","","b","f","","d","u",6.67,4.96,"","","w","","","f","f","","d","w"
"e",1.36,"x","t","n","f","d","","w",6.1,1.76,"","t","y","","","f","f","","d","u"
"e",6.99,"x","t","y","t","x","c","y",5.5,11.78,"","","w","","","f","f","","d","u"
"p",4.35,"f","d","b","f","x","c","y",4.57,3.38,"b","i","n","","","f","f","","d","a"
"p",5.05,"s","","n","t","d","c","p",5.36,5.18,"","","n","","","f","f","","d","u"
"e",54.28,"o","y","y","f","p","","y",8.21,62.26,"","k","n","","","f","f","","d","u"
"e",3.99,"f","h","o","f","a","d","y",5.69,4.21,"","k","n","","","f","f","","d","a"
"p",4.69,"o","","w","f","f","f","f",5.89,32.67,"","g","w","","","t","f","","p","a"
"p",6.42,"x","","n","f","p","","w",7.47,23.11,"c","","n","","","f","f","p","d","a"
"e",4.27,"x","t","n","f","p","","n",6.14,12.03,"","","n","","","f","f","","d","u"
"p",6.88,"s","","y","t","d","","o",4.86,11.94,"","","w","","","t","f","","d","u"
"e",6.46,"f","y","w","f","e","c","p",4.99,12.43,"","","w","","w","t","e","","g","a"
"e",0.74,"x","g","e","t","a","","w",5.65,1.06,"","","n","","","f","f","","d","u"
"p",4.12,"s","","e","t","d","c","b",5.3,5.85,"","","e","","","f","f","","d","u"
"e",4.25,"x","d","e","f","a","c","e",4.4,6.98,"","","o","","","f","f","","m","w"
"e",9.59,"x","l","w","f","d","","p",3.74,9.79,"","","w","","","f","f","","g","a"
"p",9.7,"f","t","e","f","x","","w",20.63,9.27,"r","g","n","","","f","f","","d","a"
"e",6.95,"f","i","n","f","e","c","p",4.58,12.54,"","","w","","","t","r","","w","u"
"p",6.15,"x","y","w","t","","","n",7.24,12.66,"s","","w","","","t","l","","d","u"
"p",5.83,"b","y","g","f","","","g",12,12.66,"","s","w","","","t","z","","d","w"
"p",6.75,"x","","g","t","x","","n",7.76,20.66,"s","","n","","u","f","f","","d","a"
"p",3.33,"x","y","l","f","s","c","g",5.37,7.48,"","y","w","","","t","e","k","m","a"
"p",4.7,"b","s","y","f","","c","y",6.78,6.39,"","","y","u","w","t","z","k","d","w"
"e",5.32,"o","l","n","f","f","f","f",7.01,45.79,"","","n","","","f","f","g","l","a"
"p",3.29,"f","s","g","f","d","c","w",3.18,7.32,"","","w","","","f","f","","g","u"
"e",6.39,"x","y","n","f","e","c","w",6.57,10.57,"","y","n","","","f","f","","d","u"
"p",6.57,"x","y","w","t","","","p",8.38,14.33,"s","","w","","","t","l","","g","a"
"e",5.58,"x","d","n","t","p","","y",7.05,13.53,"","","y","","","f","f","","d","u"
"p",3.68,"o","","w","f","f","f","f",5.08,27.49,"","g","w","","","t","f","","p","u"
"p",1.79,"f","h","y","f","","","y",7.62,3.19,"","","y","","","f","f","","g","u"
"e",7.8,"x","y","w","f","e","c","n",5.67,13.53,"","","w","","w","t","e","","g","a"
"p",19.95,"s","k","w","t","d","d","w",7.02,32.73,"","","w","","","f","f","","d","u"
"p",13.29,"x","t","n","t","d","c","n",6.94,15.41,"","","n","","","f","f","","h","u"
"e",3.42,"x","s","w","f","d","d","w",3.04,5.22,"","","w","","","f","f","","m","w"
"p",4.11,"b","t","n","f","x","c","p",5.42,4.28,"","i","g","","","f","f","","m","u"
"e",4.26,"f","y","g","f","s","","w",4.15,7.77,"","","w","","","f","f","","d","a"
"e",3.67,"x","h","n","f","x","c","n",3.61,5.48,"","y","n","","","t","r","","d","a"
"e",8.03,"x","","g","f","a","","w",9.06,15.08,"","","g","","","f","f","","d","u"
"e",12.24,"s","t","o","t","d","c","o",7.08,18.9,"","","w","","","f","f","","d","u"
"p",2.64,"f","s","w","f","d","c","w",2.74,7.04,"","","w","","","f","f","","g","u"
"p",4.25,"x","t","n","f","s","c","n",5.73,9.19,"","","w","","n","t","z","","d","u"
"p",14.3,"x","t","n","t","d","c","b",4.55,24.79,"","","g","","","f","f","","l","u"
"p",2.42,"x","d","w","f","a","d","w",2.98,2.53,"","h","w","","","f","f","","g","a"
"p",5.69,"x","i","k","f","e","","g",7.48,8.03,"","","o","","","f","f","","m","u"
"e",8.36,"x","s","u","f","a","c","w",3.7,15.85,"","","w","","","f","f","","d","a"
"p",2.68,"b","g","w","f","","c","n",7.19,3.58,"","","n","","","f","f","","d","u"
"e",7.62,"x","h","y","t","x","c","y",7.5,16.08,"","","w","","","f","f","","d","u"
"p",1.25,"x","g","n","f","d","d","n",2.07,2.57,"","s","n","","","f","f","","d","a"
"p",9.39,"x","","u","t","x","","u",8.52,19.86,"s","","u","","u","f","f","","d","a"
"p",7.14,"x","w","p","f","s","c","p",4.3,9.94,"","","p","","","f","f","","d","w"
"e",7.59,"x","h","n","f","x","c","n",6.57,5.72,"","s","n","","","t","r","","d","a"
"e",3.93,"f","h","n","f","","c","k",6.13,7.11,"","s","w","","w","f","f","k","d","u"
"e",3.28,"b","g","w","f","x","d","w",4.25,2.79,"","","y","","","f","f","","g","a"
"p",2.37,"x","s","o","f","d","","y",2.97,5.43,"","","o","","","f","f","","h","a"
"e",7.62,"x","","g","f","a","","w",6.36,15.04,"","","g","","","f","f","","d","u"
"e",17.04,"f","y","w","f","","","w",22.46,17.55,"s","","n","","","t","m","","m","u"
"p",2.59,"x","g","n","f","a","","w",5.54,2.15,"","","n","","","f","f","","d","a"
"e",3.94,"x","h","e","f","a","c","e",4.67,6.43,"","","o","","","f","f","","m","w"
"e",4.22,"s","","n","f","f","f","f",7.52,9.34,"","","o","","","f","f","","d","a"
"p",6.74,"x","g","n","f","e","","w",8.5,13.05,"","y","w","u","w","t","p","","d","a"
"p",3.25,"s","d","w","f","d","d","p",3.12,2.51,"","h","w","","","f","f","","g","a"
"p",7.36,"p","g","n","f","e","","w",7.71,14.24,"","y","w","u","w","t","p","","d","a"
"p",7.05,"f","","r","f","x","c","n",6.49,11.83,"","","w","","","f","f","","d","a"
"p",5.57,"f","","y","f","s","d","y",4.42,13.96,"","i","y","","","f","f","","d","a"
"e",8.82,"x","y","e","f","","","w",6.99,26.86,"b","","n","","w","t","e","","d","a"
"e",11.97,"s","t","o","t","d","c","o",6.28,17.88,"","","w","","","f","f","","d","a"
"e",5.28,"c","","n","f","f","f","f",6.13,19.48,"","","n","","","f","f","","d","s"
"e",6.79,"x","y","n","f","e","c","w",6.17,10.51,"","y","n","","","f","f","","d","a"
"p",9.41,"s","","r","t","d","","o",7.12,13.98,"","","w","","","t","f","","d","u"
"p",8.43,"s","t","p","t","d","c","p",6.41,11.46,"","","p","","","t","f","","d","a"
"p",4.53,"c","i","y","f","","c","n",5.98,5.9,"","","w","","","f","f","","d","u"
"p",5.88,"b","s","o","f","e","","k",6.46,7.48,"","","k","","","f","f","","m","a"
"p",6.73,"p","s","n","f","","","k",10.12,12.76,"","s","w","","","t","z","","g","a"
"p",9.22,"o","t","o","f","","c","o",1.57,15.95,"","","y","","","f","f","","d","w"
"e",5.17,"f","y","g","f","s","","w",4.77,7.87,"","","w","","","f","f","","d","a"
"p",10.42,"x","","n","f","p","","w",9.87,26.12,"c","","n","","","f","f","p","d","a"
"e",10.28,"x","i","n","t","e","","p",9.26,18.26,"","y","w","","","t","p","","l","a"
"e",6.86,"s","l","w","f","d","","p",3.63,9.63,"","","w","","","f","f","","d","a"
"p",2.91,"b","w","p","f","a","","r",4.68,5.41,"","t","y","","","f","f","","g","a"
"e",0.76,"p","g","g","f","","","g",2.3,1.21,"","","w","","","f","f","","d","w"
"p",2.78,"f","w","o","t","d","c","y",3.55,5.44,"","","n","","","f","f","","d","u"
"e",4.62,"x","s","o","f","p","","n",5.47,12.05,"","","e","","","f","f","","d","a"
"e",8.82,"x","s","u","f","a","c","w",4.07,14.62,"","","w","","","f","f","","d","a"
"p",10.9,"s","","o","t","d","","o",5.67,13.05,"","","w","","","t","f","","d","a"
"p",8.46,"x","","w","f","x","c","w",9.77,12.23,"r","i","w","","","f","f","","d","a"
"p",3.45,"x","","n","f","x","c","p",8.13,3.84,"","","n","","","f","f","","l","u"
"p",6.7,"s","h","r","t","d","","w",4.21,10.78,"","t","n","","","f","f","","d","a"
"e",12.19,"s","","w","t","d","c","w",5.56,24.84,"","","w","","","f","f","","d","u"
"e",9.85,"x","t","n","f","p","d","y",7.76,12.97,"","s","n","","","f","f","","h","u"
"e",16.02,"x","s","n","f","a","d","k",8.45,24.26,"","","w","","","f","f","w","d","a"
"e",8.91,"x","t","n","t","p","","n",7.43,17.92,"","","n","","w","t","p","","d","u"
"p",4.22,"f","y","w","f","e","c","w",5.47,3.68,"","k","w","","","t","e","","d","a"
"p",3.04,"b","y","n","f","","c","u",5.7,4.54,"s","s","w","","","f","f","","d","u"
"p",6.2,"b","k","n","f","a","c","y",5.67,6.48,"","i","n","","","t","","","d","u"
"p",3.64,"x","h","r","f","s","c","g",6.2,8.66,"","y","l","","","t","e","k","d","u"
"p",5.28,"x","","p","f","","c","r",3.17,11.51,"","","y","","","f","f","","d","a"
"p",1.63,"x","y","o","f","d","","y",2.59,4.82,"","","y","","","f","f","","m","a"
"p",7.47,"x","y","y","f","a","c","n",8.97,10.01,"","y","n","","","t","","","d","u"
"e",5.27,"x","s","w","f","e","c","n",5.52,13.12,"","","w","","w","t","e","","m","u"
"e",5.91,"s","d","o","f","d","d","o",5.41,11.53,"","","w","","","f","f","","m","w"
"p",16.04,"x","h","y","f","s","","p",9.21,18.52,"","i","n","","","f","f","","d","u"
"p",3.22,"f","k","w","f","s","","p",4.35,3.32,"","","n","","","f","f","p","g","a"
"e",8.38,"x","s","n","f","e","c","p",6.94,10.42,"","i","n","","","f","f","p","d","u"
"p",3.21,"f","y","n","f","e","c","w",3.77,3.48,"","k","w","","","t","e","","m","u"
"e",5.34,"x","h","y","t","x","c","y",6.44,13.63,"","","w","","","f","f","","d","a"
"e",9.11,"f","","g","f","s","c","u",6.8,17.88,"","","u","","","f","f","","d","w"
"e",5.62,"f","w","y","f","f","f","f",4.56,12.69,"","","y","","","f","f","","d","a"
"p",1.69,"x","g","n","f","d","d","n",1.93,2.51,"","s","n","","","f","f","","d","a"
"p",1.5,"b","h","n","f","a","","n",4.18,1.45,"","t","n","","","f","f","","h","a"
"e",0.96,"p","g","w","f","","","g",3.17,1.59,"","","w","","","f","f","","d","w"
"p",15.15,"s","k","n","f","d","c","y",5.22,32.6,"","k","k","","","f","f","","d","u"
"p",4.85,"f","k","n","f","p","","n",3.31,4.2,"","k","n","","","t","f","","d","u"
"p",6.06,"c","k","y","t","x","c","r",7.85,13.15,"","","w","","","f","f","","g","u"
"p",1.05,"x","g","w","f","a","d","w",3.56,1.72,"","","e","","","f","f","","d","u"
"p",5.03,"x","","y","f","s","d","y",4.81,10.29,"","i","y","","","f","f","","d","a"
"e",6.22,"s","","n","f","d","c","w",5.46,7.34,"","s","w","","","f","f","","h","u"
"e",3.18,"f","d","u","t","d","c","p",5.02,5.46,"","","g","","","f","f","","d","u"
"e",5.82,"x","h","n","f","x","c","w",4.75,5.33,"","s","n","","","t","r","","d","s"
"p",1.18,"x","k","n","f","","","n",3.86,1.42,"","","n","","","f","f","","d","w"
"e",5.97,"x","y","n","f","e","c","w",5.4,9.85,"","y","n","","","f","f","","d","u"
"p",10.93,"x","d","y","f","a","","y",11.2,21.72,"r","","y","","","t","r","n","d","u"
"e",3.13,"x","k","n","f","p","","n",5.71,10.56,"","","n","","","f","f","","d","a"
"p",0.65,"x","g","o","f","","","y",3.11,0.68,"","","w","","","f","f","","d","u"
"e",5.4,"x","y","n","f","e","c","p",4.24,11.7,"","","w","","","t","l","","w","u"
"p",2.6,"s","w","o","t","d","c","y",3.49,5.79,"","","n","","","f","f","","d","u"
"p",2.53,"x","g","e","f","a","","p",6.56,2.25,"","","w","","","f","f","","d","u"
"p",9.99,"x","e","n","f","a","","n",10.92,15.69,"s","","n","","n","f","f","","h","a"
"e",11.82,"f","s","u","f","x","","n",7.23,21.87,"","","p","","","f","f","","d","w"
"p",8.33,"p","y","w","f","","","k",15.33,17.95,"","","w","","","f","f","","d","a"
"e",6.37,"f","s","n","f","a","d","w",7.64,14.49,"","i","n","","","t","","w","d","a"
"e",12.05,"s","","w","t","d","c","w",5.37,24.8,"","","w","","","f","f","","d","u"
"e",13.79,"s","e","g","f","d","c","w",6.64,24.4,"s","","w","","","f","f","","l","a"
"p",3.97,"x","h","y","f","a","c","y",5.68,6.51,"","g","o","","","f","f","","g","a"
"e",7,"f","g","o","f","s","","y",9.01,12.8,"","i","n","","","f","f","","d","a"
"p",12.44,"x","e","n","t","p","","e",9.61,33.35,"","","u","","","f","f","","d","a"
"p",13.44,"x","h","y","f","s","","y",8.33,18.29,"","i","n","","","f","f","","d","u"
"p",9.25,"x","y","n","f","a","c","n",8.65,10.42,"","y","n","","","t","","","d","u"
"p",15.38,"f","k","n","f","d","c","y",4.88,30.78,"","k","n","","","f","f","","d","a"
"e",9.32,"x","s","n","f","e","c","w",6.44,10.32,"","i","n","","","f","f","p","d","w"
"p",6.89,"x","e","e","f","a","","w",8.21,9.66,"","","e","","w","t","z","","d","a"
"p",0.72,"x","g","o","f","","","y",3.52,0.74,"","","w","","","f","f","","d","a"
"p",4.68,"x","d","n","f","d","c","n",4.99,6.42,"","i","y","","","t","","","d","u"
"p",7.35,"x","","g","t","x","","n",9.21,21.13,"s","","u","","u","f","f","","d","a"
"p",6.33,"x","","n","f","d","c","y",5.06,10.37,"b","","n","","","f","f","","l","a"
"e",6.6,"x","w","y","f","f","f","f",7,15.08,"","","y","","","f","f","","d","u"
"e",11.16,"f","","l","f","s","c","u",6.88,17.18,"","","u","","","f","f","","l","a"
"p",9.02,"x","y","y","f","a","c","y",9.85,10.61,"","y","y","","","t","","","d","u"
"p",6.11,"f","","y","f","s","d","y",6.04,12.14,"","i","y","","","f","f","","d","a"
"p",3.72,"x","i","e","f","","","e",4.22,4.62,"","","e","","","f","f","n","d","a"
"p",3.95,"o","","w","f","f","f","f",5.55,32.12,"","g","w","","","t","f","","p","u"
"e",7.79,"f","s","n","f","s","c","w",6.36,9.94,"b","i","n","","","f","f","","d","u"
"p",3.7,"b","w","u","f","a","c","g",4.76,4.45,"","s","u","","","f","f","","l","u"
"e",5.56,"f","d","b","f","d","d","o",5.65,11.04,"","","w","","","f","f","","d","w"
"e",5.72,"x","h","y","t","x","c","y",7.14,14.15,"","","w","","","f","f","","d","a"
"p",16.53,"f","h","e","f","e","","w",18.53,18.72,"s","y","w","u","w","t","p","","d","u"
"p",5.56,"b","i","e","f","e","","y",6.49,6.88,"","","o","","","f","f","","m","u"
"e",6.65,"x","t","y","f","p","","y",6.57,14.39,"","","y","","y","t","","","d","a"
"p",1.01,"x","g","w","f","a","d","w",3.16,1.55,"","","e","","","f","f","","d","u"
"p",9.52,"f","y","u","f","s","c","y",8.36,18.42,"","y","e","","","f","f","","d","a"
"e",1.35,"x","g","n","f","d","","w",5.47,1.95,"","t","y","","","f","f","","d","a"
"p",5.01,"c","i","y","f","","c","r",6.78,7.66,"","","w","","","f","f","","d","a"
"p",7.69,"s","t","p","t","d","c","p",7.19,12.89,"","","p","","","t","f","","d","a"
"p",5.96,"o","k","r","f","","c","o",1.47,13.06,"","","y","","","f","f","","d","w"
"e",7.81,"s","t","o","t","d","c","o",5.54,16.35,"","","w","","","f","f","","d","u"
"p",7.47,"p","y","w","f","","","p",15.51,17.77,"","","w","","","f","f","","d","a"
"e",8.49,"x","t","n","t","p","","y",5.92,16.62,"","","n","","w","t","p","","d","a"
"e",1.45,"c","g","n","f","a","","w",4.57,1.48,"","","g","","","f","f","","l","u"
"p",7.79,"f","h","e","f","x","d","w",6.15,18.66,"b","","w","","","f","f","","d","u"
"p",8.14,"x","","w","f","x","c","w",9.56,10.33,"r","i","w","","","f","f","","d","a"
"p",7.7,"x","t","n","f","s","","n",5.96,7.65,"","y","n","","","f","f","","d","w"
"e",6.61,"x","y","w","f","e","c","n",5.16,12.11,"","","w","","w","t","e","","m","a"
"e",6.5,"f","h","g","f","s","d","g",5.59,10.21,"","s","g","","","f","f","","d","u"
"p",3.67,"x","y","y","f","a","","w",5.61,3.61,"","y","y","","","t","r","","g","a"
"p",7.52,"p","y","w","f","","","p",12.46,15.14,"","","w","","","f","f","","d","a"
"p",12.7,"x","","g","f","e","","w",10.67,13.52,"","","w","u","w","t","e","","d","a"
"p",5.2,"b","s","k","f","e","","k",6.66,7.38,"","","o","","","f","f","","m","a"
"p",9.93,"f","","w","f","x","c","w",10.17,11.21,"r","i","w","","","f","f","","h","u"
"p",4.29,"x","","w","f","","c","r",3.45,11.29,"","","y","","","f","f","","d","a"
"e",10.39,"f","e","b","f","","c","b",4.89,20.9,"","","w","","","t","f","","d","a"
"e",11.2,"x","s","w","t","e","","g",10.52,17.2,"s","","w","","","t","r","","m","a"
"e",9.94,"p","i","n","t","e","","p",9.37,18.27,"","y","w","","","t","l","","l","a"
"p",5.35,"x","t","y","f","a","c","y",6.13,7.41,"","g","o","","","f","f","","g","u"
"e",7.88,"f","","e","f","x","c","w",8.53,19.39,"","s","w","","","f","f","","d","a"
"e",12.77,"x","e","n","f","d","c","w",6.13,22.43,"s","","w","","","f","f","","d","w"
"p",3.94,"f","l","y","f","x","d","e",5.94,4.74,"","","y","","","f","f","","d","a"
"p",1.44,"x","","n","f","","","n",4.93,2.33,"","s","n","","","f","f","k","g","u"
"p",6.64,"x","y","w","t","","","w",7.43,10.36,"s","","w","","","t","l","","g","a"
"p",8.56,"p","y","n","f","","","k",15.29,18.16,"","","w","","","f","f","","d","a"
"e",6.42,"s","","n","f","d","c","w",5.22,9.51,"","s","w","","","f","f","","d","a"
"p",13.53,"s","k","w","t","d","d","n",6.3,30.34,"","","w","","","f","f","","d","w"
"p",3.54,"f","d","b","f","x","c","w",5.37,3.42,"b","i","n","","","f","f","","l","a"
"p",6.95,"f","w","p","f","s","c","p",4.35,9.4,"","","p","","","f","f","","d","w"
"e",10.68,"f","e","b","f","","c","b",5.32,22.44,"","","w","","","t","f","","d","a"
"e",7.3,"f","g","o","f","s","","y",9.5,12.88,"","t","n","","","f","f","","d","a"
"e",10.3,"x","h","n","t","p","","y",7.14,22.08,"","","n","","","f","f","","d","u"
"p",4.59,"x","h","l","f","s","c","u",6.19,7.81,"","y","l","","","t","e","u","m","a"
"p",6.62,"f","t","e","f","x","","w",14.37,7.68,"r","g","n","","","f","f","","d","a"
"e",3.37,"b","g","w","f","x","d","w",4.38,3.2,"","","y","","","f","f","","g","a"
"p",10.31,"x","y","y","f","a","c","n",10.76,11.59,"","y","n","","","t","","","d","u"
"p",2.09,"b","g","n","f","","c","n",5.93,2.64,"","","n","","","f","f","","d","s"
"e",16.08,"f","s","n","t","e","","n",12.38,17.82,"s","","w","","","t","r","","m","a"
"e",9.78,"s","","l","f","s","c","u",7.7,20.43,"","","b","","","f","f","","d","a"
